time,screenX,screenY,lineNum,charPos,token
1463162381.02719,310,444,,,
1463162381.05219,313,456,18,392,BubbleSort
1463162381.05519,318,464,18,392,BubbleSort
1463162381.05819,318,466,18,392,BubbleSort
1463162381.06219,320,466,18,392,BubbleSort
1463162381.06819,324,468,18,392,BubbleSort
1463162381.07219,326,468,18,392,BubbleSort
1463162381.07719,327,471,,,
1463162381.08019,329,477,,,
1463162381.08519,327,483,,,
1463162381.08919,326,484,,,
1463162381.09319,326,481,,,
1463162381.09619,327,481,,,
1463162381.10419,330,481,,,
1463162381.10919,335,483,,,
1463162381.12119,337,484,,,
1463162381.12619,344,485,,,
1463162381.13119,353,485,,,
1463162381.13619,359,486,,,
1463162381.15219,402,487,20,455,counter1
1463162381.15719,443,487,20,466,array
1463162381.19119,450,488,20,466,array
1463162381.19619,450,489,20,466,array
1463162381.20219,450,493,20,466,array
1463162381.22619,453,495,20,471,.
1463162381.23819,456,499,20,471,.
1463162381.24419,460,504,,,
1463162381.24819,459,508,,,
1463162381.2532,452,504,,,
1463162381.25819,450,503,,,
1463162381.26419,444,499,20,466,array
1463162381.27019,441,501,20,466,array
1463162381.27619,409,501,20,464,<
1463162381.28119,367,493,20,455,counter1
1463162381.28419,355,490,20,455,counter1
1463162381.29119,354,487,20,455,counter1
1463162381.2982,351,486,,,
1463162381.3022,351,485,,,
1463162381.30619,351,485,,,
1463162381.3092,351,485,,,
1463162381.31219,354,485,,,
1463162381.31619,358,485,,,
1463162381.3192,358,485,,,
1463162381.4012,358,485,,,
1463162381.4042,358,484,,,
1463162381.4072,358,480,,,
1463162381.4102,360,477,,,
1463162381.4122,358,476,,,
1463162381.4152,355,476,,,
1463162381.4182,354,475,,,
1463162381.4222,354,472,,,
1463162381.4252,354,466,18,402,(
1463162381.4282,355,465,18,402,(
1463162381.4312,356,475,,,
1463162381.4342,358,479,,,
1463162381.4402,363,488,20,455,counter1
1463162381.4422,367,490,20,455,counter1
1463162381.4482,371,494,20,455,counter1
1463162381.4542,371,484,,,
1463162381.4572,378,486,,,
1463162381.4592,398,493,20,455,counter1
1463162381.4642,398,482,,,
1463162381.4682,421,482,,,
1463162381.4712,421,478,,,
1463162381.4792,470,478,,,
1463162381.4822,521,482,,,
1463162381.4872,538,503,,,
1463162381.4922,546,525,22,563,Length
1463162381.4982,567,528,22,563,Length
1463162381.5052,585,527,22,569,;
1463162381.5082,586,526,22,569,;
1463162381.51121,587,532,22,569,;
1463162381.5192,589,538,,,
1463162381.5252,593,539,,,
1463162381.5312,596,540,,,
1463162381.5342,610,540,,,
1463162381.5402,637,540,,,
1463162381.5432,653,533,22,579,++
1463162381.5452,658,534,22,579,++
1463162381.5482,668,537,,,
1463162381.5502,677,538,,,
1463162381.5542,677,537,,,
1463162381.5612,679,535,,,
1463162381.5652,679,535,,,
1463162381.5682,679,534,,,
1463162381.5732,682,532,,,
1463162381.5762,679,530,,,
1463162381.5802,674,528,22,581,)
1463162381.5862,672,527,22,581,)
1463162381.5882,665,520,22,581,)
1463162381.5942,516,509,,,
1463162381.7312,365,501,20,455,counter1
1463162381.7372,349,501,20,455,counter1
1463162381.7432,342,501,20,455,counter1
1463162381.7452,339,501,20,453,;
1463162381.7542,334,501,20,453,;
1463162381.7602,332,506,,,
1463162381.7632,327,511,,,
1463162381.7732,326,515,,,
1463162381.7872,326,518,,,
1463162381.88321,319,519,22,525,counter2
1463162381.88621,319,521,22,525,counter2
1463162381.88821,320,521,22,525,counter2
1463162381.8902,322,523,22,525,counter2
1463162381.89621,322,524,22,525,counter2
1463162381.93521,335,525,22,534,=
1463162381.98921,369,526,22,536,counter1
1463162381.99821,406,534,22,544,;
1463162382.02521,424,551,24,642,[
1463162382.04721,432,563,24,643,counter2
1463162382.06121,433,567,,,
1463162382.13821,436,568,,,
1463162382.14921,436,568,,,
1463162382.15821,432,568,,,
1463162382.16421,427,568,,,
1463162382.18121,421,566,24,637,array
1463162382.21021,403,565,24,637,array
1463162382.22321,381,563,24,635,>
1463162382.25521,369,561,24,633,]
1463162382.26721,366,556,24,633,]
1463162382.28421,358,554,24,625,counter1
1463162382.30022,352,552,24,625,counter1
1463162382.31122,349,554,24,625,counter1
1463162382.33222,348,557,24,625,counter1
1463162382.38622,348,563,24,625,counter1
1463162382.40721,348,563,24,625,counter1
1463162382.42522,353,559,24,625,counter1
1463162382.47322,360,559,24,625,counter1
1463162382.48322,363,561,24,633,]
1463162382.49422,366,572,,,
1463162382.49922,367,578,,,
1463162382.50922,367,585,26,706,counter1
1463162382.52722,367,585,26,706,counter1
1463162382.55522,362,585,26,706,counter1
1463162382.56922,353,589,26,706,counter1
1463162382.58022,334,589,26,704,,
1463162382.59822,320,589,26,699,array
1463162382.61622,315,588,26,699,array
1463162382.62622,309,588,26,699,array
1463162382.64322,302,587,26,699,array
1463162382.65822,298,587,26,699,array
1463162382.67122,299,589,26,699,array
1463162382.70222,299,588,26,699,array
1463162382.71422,300,585,26,699,array
1463162382.73322,301,582,,,
1463162382.76022,301,582,,,
1463162382.78022,304,582,,,
1463162382.80422,304,582,,,
1463162382.80522,303,581,,,
1463162382.84922,307,581,,,
1463162382.86623,309,583,26,699,array
1463162382.89422,309,580,,,
1463162382.91423,307,580,,,
1463162382.92723,303,581,,,
1463162382.95823,300,582,,,
1463162382.97423,297,581,,,
1463162383.00323,292,583,26,698,(
1463162383.01923,291,583,26,698,(
1463162383.03023,290,583,26,694,Swap
1463162383.04623,285,586,26,694,Swap
1463162383.07423,282,587,26,694,Swap
1463162383.10823,279,585,26,694,Swap
1463162383.11823,279,586,26,694,Swap
1463162383.15423,275,592,26,694,Swap
1463162383.16423,271,592,26,694,Swap
1463162383.18423,262,588,26,694,Swap
1463162383.19723,257,589,26,694,Swap
1463162383.21323,255,590,26,694,Swap
1463162383.22823,248,581,25,671,{
1463162383.24123,236,575,25,671,{
1463162383.25323,232,571,25,671,{
1463162383.27023,228,570,25,671,{
1463162383.29923,226,570,25,671,{
1463162383.31823,226,559,24,615,if
1463162383.33223,230,554,24,615,if
1463162383.34424,236,552,24,615,if
1463162383.36223,242,537,,,
1463162383.37723,256,457,18,387,void
1463162383.38824,264,383,14,346,ReadKey
1463162383.40824,266,367,,,
1463162383.45324,266,362,,,
1463162383.46824,267,356,12,289,WriteLine
1463162383.47824,268,356,12,289,WriteLine
1463162383.49724,269,356,12,289,WriteLine
1463162383.51224,269,355,12,289,WriteLine
1463162383.52424,269,355,12,289,WriteLine
1463162383.54124,272,357,12,289,WriteLine
1463162383.55824,276,357,12,289,WriteLine
1463162383.56824,279,354,12,289,WriteLine
1463162383.60224,281,360,12,289,WriteLine
1463162383.61824,283,363,,,
1463162383.63424,282,365,,,
1463162383.64824,282,367,,,
1463162383.65924,281,372,,,
1463162383.67724,280,390,14,346,ReadKey
1463162383.69324,281,408,,,
1463162383.70324,281,414,,,
1463162383.72124,278,417,,,
1463162383.75124,278,421,,,
1463162383.76824,274,422,,,
1463162383.78125,273,422,,,
1463162383.79224,272,419,,,
1463162383.81225,271,415,,,
1463162383.82924,269,405,,,
1463162383.83925,267,387,14,346,ReadKey
1463162383.85724,263,380,14,346,ReadKey
1463162383.87124,261,374,,,
1463162383.90224,261,368,,,
1463162383.91625,259,367,,,
1463162383.92924,258,366,,,
1463162383.94625,252,369,,,
1463162383.96325,251,370,,,
1463162383.97325,250,375,,,
1463162383.99325,253,376,,,
1463162384.00725,253,378,14,346,ReadKey
1463162384.01825,254,377,,,
1463162384.05525,255,375,,,
1463162384.06525,254,380,14,346,ReadKey
1463162384.08125,254,380,14,346,ReadKey
1463162384.09825,254,374,,,
1463162384.10925,254,374,,,
1463162384.12725,254,377,,,
1463162384.14125,252,374,,,
1463162384.15325,249,378,14,346,ReadKey
1463162384.17325,249,378,14,346,ReadKey
1463162384.19925,247,378,14,346,ReadKey
1463162384.24325,247,380,14,346,ReadKey
1463162384.26225,247,381,14,346,ReadKey
1463162384.28925,253,384,14,346,ReadKey
1463162384.30625,261,391,14,346,ReadKey
1463162384.32125,293,468,18,392,BubbleSort
1463162384.35325,334,569,,,
1463162384.36625,364,599,,,
1463162384.37825,379,604,,,
1463162384.39825,386,610,,,
1463162384.41326,387,614,,,
1463162384.42226,387,615,,,
1463162384.45826,387,615,,,
1463162384.46926,385,615,,,
1463162384.51326,383,617,,,
1463162384.51826,381,620,,,
1463162384.53226,377,623,,,
1463162384.54626,371,619,,,
1463162384.56026,367,614,,,
1463162384.59126,364,611,,,
1463162384.60526,350,610,,,
1463162384.64926,338,610,,,
1463162384.66826,336,608,,,
1463162384.68326,336,607,,,
1463162384.69326,334,605,,,
1463162384.71226,334,603,,,
1463162384.72726,333,599,,,
1463162384.73926,330,597,26,699,array
1463162384.75626,328,595,26,699,array
1463162384.77026,329,591,26,699,array
1463162384.80326,331,591,26,699,array
1463162384.81726,329,587,26,699,array
1463162384.83026,328,585,26,699,array
1463162384.84627,328,585,26,699,array
1463162384.86327,327,585,26,699,array
1463162384.87427,326,585,26,699,array
1463162384.89327,328,585,26,699,array
1463162384.90726,328,585,26,699,array
1463162384.91927,328,584,26,699,array
1463162384.97627,329,584,26,699,array
1463162385.00327,328,582,,,
1463162385.01227,327,583,26,699,array
1463162385.02727,323,583,26,699,array
1463162385.04627,316,583,26,699,array
1463162385.05527,300,583,26,699,array
1463162385.07327,283,581,,,
1463162385.09832,276,580,,,
1463162385.11931,271,577,,,
1463162385.14431,268,578,,,
1463162385.17632,263,578,,,
1463162385.18831,257,577,,,
1463162385.22088,255,579,,,
1463162385.2646,254,581,,,
1463162385.27761,251,580,,,
1463162385.29944,249,582,25,671,{
1463162385.31123,248,585,26,694,Swap
1463162385.32323,244,585,26,694,Swap
1463162385.34424,241,584,26,694,Swap
1463162385.35824,242,579,25,671,{
1463162385.36923,243,577,25,671,{
1463162385.40232,245,566,24,615,if
1463162385.41232,245,554,24,615,if
1463162385.43097,245,553,24,615,if
1463162385.44605,241,553,24,615,if
1463162385.45905,241,553,24,615,if
1463162385.4771,239,550,,,
1463162385.49065,237,550,,,
1463162385.5039,237,550,,,
1463162385.52108,234,549,,,
1463162385.55113,236,551,24,615,if
1463162385.56713,236,542,,,
1463162385.58313,236,529,22,520,(
1463162385.59513,239,522,22,520,(
1463162385.61213,254,492,20,441,counter1
1463162385.63813,277,430,,,
1463162385.65613,299,386,14,355,;
1463162385.67213,305,377,,,
1463162385.70413,305,374,,,
1463162385.71614,306,372,,,
1463162385.73013,305,367,,,
1463162385.74813,305,366,,,
1463162385.76313,303,365,,,
1463162385.77213,304,367,,,
1463162385.79413,304,367,,,
1463162385.80713,302,369,,,
1463162385.82113,301,371,,,
1463162385.85913,301,369,,,
1463162385.86313,301,364,,,
1463162385.88213,300,363,,,
1463162385.89713,300,363,,,
1463162385.90713,299,363,,,
1463162385.92813,299,363,,,
1463162385.94113,300,366,,,
1463162385.95313,299,369,,,
1463162385.97313,299,365,,,
1463162386.00114,299,362,,,
1463162386.01814,301,368,,,
1463162386.03214,300,371,,,
1463162386.04414,300,375,,,
1463162386.06114,300,373,,,
1463162386.07614,300,375,,,
1463162386.09314,298,375,,,
1463162386.11414,297,375,,,
1463162386.12914,295,380,14,354,)
1463162386.15314,293,382,14,354,)
1463162386.16814,291,375,,,
1463162386.19714,290,369,,,
1463162386.21214,287,370,,,
1463162386.24314,279,371,,,
1463162386.25614,275,376,,,
1463162386.30214,273,371,,,
1463162386.33314,265,368,,,
1463162386.34614,260,367,,,
1463162386.37614,260,363,,,
1463162386.39214,261,361,12,288,.
1463162386.42415,261,358,12,288,.
1463162386.45215,260,356,12,288,.
1463162386.46615,259,353,12,288,.
1463162386.48515,259,349,12,288,.
1463162386.49315,258,348,12,288,.
1463162386.51215,256,345,,,
1463162386.52815,251,337,,,
1463162386.53814,250,331,,,
1463162386.55615,250,326,10,205,counter3
1463162386.57215,248,323,10,205,counter3
1463162386.60315,246,317,10,205,counter3
1463162386.62015,245,308,,,
1463162386.63115,244,303,,,
1463162386.64915,243,299,,,
1463162386.66315,242,298,,,
1463162386.67315,240,294,8,165,BubbleSort
1463162386.69215,237,294,8,165,BubbleSort
1463162386.70715,237,294,8,165,BubbleSort
1463162386.71715,237,294,8,165,BubbleSort
1463162386.75315,236,293,8,165,BubbleSort
1463162386.76515,235,292,8,165,BubbleSort
1463162386.78215,230,290,8,165,BubbleSort
1463162386.79715,233,291,8,165,BubbleSort
1463162386.80915,233,293,8,165,BubbleSort
1463162386.82715,235,305,,,
1463162386.84415,241,307,,,
1463162386.85415,243,308,,,
1463162386.87315,241,304,,,
1463162386.90015,240,304,,,
1463162386.91715,238,306,,,
1463162386.93315,237,306,,,
1463162386.94415,237,309,,,
1463162386.96315,235,309,,,
1463162386.97715,229,309,,,
1463162386.98915,222,305,,,
1463162387.00715,212,306,,,
1463162387.02315,207,309,,,
1463162387.05416,201,309,,,
1463162387.06916,199,310,,,
1463162387.08316,197,311,,,
1463162387.09716,195,311,,,
1463162387.11216,196,311,,,
1463162387.12416,197,313,,,
1463162387.14216,198,314,10,196,for
1463162387.15816,200,315,10,196,for
1463162387.16916,199,313,,,
1463162387.20316,200,321,10,196,for
1463162387.21316,202,334,,,
1463162387.25916,204,355,12,281,Console
1463162387.30316,206,369,,,
1463162387.35016,229,373,,,
1463162387.38017,270,378,14,346,ReadKey
1463162387.39316,316,491,20,450,=
1463162387.42816,343,604,,,
1463162387.43816,350,604,,,
1463162387.47416,356,604,,,
1463162387.51616,361,604,,,
1463162387.52916,375,604,,,
1463162387.54717,393,597,26,706,counter1
1463162387.56317,397,590,26,706,counter1
1463162387.57417,400,577,,,
1463162387.59317,403,566,24,637,array
1463162387.60717,403,563,24,637,array
1463162387.61917,407,559,24,637,array
1463162387.65217,403,559,24,637,array
1463162387.66317,402,557,24,637,array
1463162387.68317,401,560,24,637,array
1463162387.69817,401,564,24,637,array
1463162387.71017,399,569,,,
1463162387.72717,397,570,,,
1463162387.74317,395,571,,,
1463162387.75417,395,574,,,
1463162387.77217,396,579,,,
1463162387.80117,398,583,26,706,counter1
1463162387.83217,399,584,26,706,counter1
1463162387.84317,399,585,26,706,counter1
1463162387.86217,401,586,26,706,counter1
1463162387.87817,405,586,26,714,,
1463162387.88817,405,589,26,714,,
1463162387.90717,404,589,26,714,,
1463162387.92418,404,582,,,
1463162387.95218,402,574,,,
1463162387.96518,398,571,,,
1463162387.97758,392,564,24,637,array
1463162387.99658,388,565,24,635,>
1463162388.01099,386,564,24,635,>
1463162388.02299,384,564,24,635,>
1463162388.04099,382,567,,,
1463162388.0546,378,560,24,635,>
1463162388.0676,381,567,,,
1463162388.10197,381,573,,,
1463162388.11197,382,578,,,
1463162388.13497,383,578,,,
1463162388.14897,380,578,,,
1463162388.15897,375,577,,,
1463162388.17897,373,570,,,
1463162388.19297,373,568,,,
1463162388.20597,367,567,,,
1463162388.22297,367,567,,,
1463162388.24797,367,567,,,
1463162388.26538,367,570,,,
1463162388.28139,367,570,,,
1463162388.29306,374,574,,,
1463162388.31105,400,589,26,706,counter1
1463162388.33947,470,619,,,
1463162388.35747,552,639,,,
1463162388.40347,592,639,,,
1463162388.41647,594,641,,,
1463162388.42847,595,646,,,
1463162388.44666,595,650,,,
1463162388.47273,595,653,,,
1463162388.48982,578,653,,,
1463162388.51772,559,658,,,
1463162388.56513,554,662,,,
1463162388.58112,532,661,,,
1463162388.59612,488,668,,,
1463162388.60913,457,681,,,
1463162388.6245,442,681,,,
1463162388.64099,442,694,32,826,int
1463162388.65399,438,704,32,826,int
1463162388.69839,438,711,,,
1463162388.7164,449,717,,,
1463162388.7314,455,720,,,
1463162388.74341,464,722,,,
1463162388.7624,471,724,,,
1463162388.79041,474,723,,,
1463162388.8064,476,722,,,
1463162388.82141,481,724,,,
1463162388.85278,483,723,,,
1463162388.86581,483,721,,,
1463162388.87781,480,719,,,
1463162388.89581,480,716,,,
1463162388.91123,479,715,,,
1463162388.92323,477,715,,,
1463162388.95667,462,715,,,
1463162388.96667,407,714,,,
1463162389.0156,361,713,,,
1463162389.03159,357,714,,,
1463162389.0446,353,713,,,
1463162389.05757,351,715,,,
1463162389.07563,351,717,,,
1463162389.09463,352,718,,,
1463162389.10331,353,721,,,
1463162389.12242,350,722,,,
1463162389.14853,350,722,,,
1463162389.16827,352,723,,,
1463162389.18226,347,725,34,890,counter1
1463162389.19327,344,725,34,890,counter1
1463162389.21226,346,726,34,890,counter1
1463162389.22726,344,726,34,890,counter1
1463162389.238,344,725,34,890,counter1
1463162389.25434,341,724,34,890,counter1
1463162389.30137,340,716,,,
1463162389.31593,340,719,,,
1463162389.32693,330,714,,,
1463162389.36077,317,719,,,
1463162389.37377,310,719,,,
1463162389.39089,290,721,,,
1463162389.41996,270,725,34,881,yourData
1463162389.45396,258,728,34,881,yourData
1463162389.46396,256,728,34,881,yourData
1463162389.48096,256,729,34,881,yourData
1463162389.50773,258,731,34,881,yourData
1463162389.52776,256,731,34,881,yourData
1463162389.54076,255,732,34,879,=
1463162389.55376,255,736,34,879,=
1463162389.59867,255,741,35,919,counter1
1463162389.61671,255,743,35,919,counter1
1463162389.63171,253,743,35,919,counter1
1463162389.64271,251,747,35,919,counter1
1463162389.66171,248,753,35,919,counter1
1463162389.68812,248,756,36,969,counter2
1463162389.707,233,762,36,960,yourData
1463162389.72101,214,763,36,960,yourData
1463162389.7771,197,762,36,960,yourData
1463162389.79812,192,762,36,960,yourData
1463162389.82262,186,760,36,960,yourData
1463162389.84408,184,756,36,960,yourData
